epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,1640.97,1.0462,0.90023,1.45986,0.81164,0.71562,0.80162,0.53657,1.2094,0.91654,1.65256,0.005743,0.005743,0.005743
174,1650.41,1.06438,0.93767,1.4745,0.7759,0.73953,0.80557,0.53665,1.2141,0.91818,1.66245,0.00571825,0.00571825,0.00571825
175,1659.83,1.04368,0.90376,1.46366,0.80134,0.68853,0.7731,0.51762,1.23526,1.0147,1.69704,0.0056935,0.0056935,0.0056935
176,1669.08,1.06019,0.93828,1.47809,0.8197,0.69191,0.81657,0.54313,1.20645,0.92254,1.63269,0.00566875,0.00566875,0.00566875
177,1678.37,1.06507,0.92436,1.46852,0.8408,0.68826,0.80092,0.53151,1.20716,0.91232,1.6392,0.005644,0.005644,0.005644
178,1687.89,1.04706,0.89921,1.46702,0.78168,0.74896,0.82025,0.54332,1.1885,0.92763,1.63079,0.00561925,0.00561925,0.00561925
179,1697.3,1.05916,0.91264,1.47051,0.77827,0.70012,0.78959,0.52772,1.19833,0.96001,1.64701,0.0055945,0.0055945,0.0055945
180,1706.85,1.05378,0.90137,1.45936,0.84406,0.69959,0.81427,0.5426,1.17909,0.87695,1.64322,0.00556975,0.00556975,0.00556975
181,1716.27,1.06163,0.91259,1.47098,0.83918,0.68934,0.79996,0.53267,1.19004,0.93785,1.64092,0.005545,0.005545,0.005545
182,1725.77,1.04772,0.88458,1.45041,0.83018,0.70626,0.81834,0.54832,1.1848,0.9109,1.6241,0.00552025,0.00552025,0.00552025
